County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
35006,46436.577093,0.000000,57007.648553,0.000000,65464.505721,0.000000,
35007,17589.970119,0.000000,19732.952294,0.000000,21454.946372,0.000000,
35009,72791.578007,0.000000,86347.593895,0.000000,97201.572399,0.000000,
35011,2299.014706,0.000000,2455.855224,0.000000,2581.327638,0.000000,
35013,333534.191662,0.000000,402056.019590,0.000000,456876.220884,0.000000,
35015,76916.953920,0.000000,89692.604615,0.000000,99919.963878,0.000000,
35017,42881.413345,0.000000,50293.541322,0.000000,56229.145077,0.000000,
35019,5165.295046,0.000000,5455.205449,0.000000,5688.547668,0.000000,
35021,592.175328,0.000000,554.927540,0.000000,530.808457,0.000000,
35023,6826.691744,0.000000,7884.866389,0.000000,8730.921900,0.000000,
35025,94873.296387,0.000000,111666.446447,0.000000,125119.362196,0.000000,
35027,31573.995917,0.000000,37859.375637,0.000000,42887.679412,0.000000,
35028,28775.402657,0.000000,34837.665621,0.000000,39687.475993,0.000000,
35029,40070.943206,0.000000,48360.980735,0.000000,54993.010759,0.000000,
35031,114684.304111,0.000000,138725.752056,0.000000,157984.789605,0.000000,
35033,5720.380205,0.000000,6221.623754,0.000000,6627.881299,0.000000,
35035,103090.213319,0.000000,124791.134626,0.000000,142152.154977,0.000000,
35037,11663.803920,0.000000,13216.918444,0.000000,14473.291071,0.000000,
35039,60296.698532,0.000000,71415.807419,0.000000,80312.100678,0.000000,
35041,26418.855601,0.000000,30190.718729,0.000000,33219.632175,0.000000,
35043,205882.840800,0.000000,246973.180646,0.000000,279843.842981,0.000000,
35045,212130.318321,0.000000,257508.557104,0.000000,293813.566082,0.000000,
35047,41187.466976,0.000000,47648.369967,0.000000,52827.870945,0.000000,
35049,230132.751868,0.000000,277562.977006,0.000000,315507.157117,0.000000,
35051,18095.978374,0.000000,21475.348967,0.000000,24178.845441,0.000000,
35053,26280.159882,0.000000,31026.524460,0.000000,34826.291632,0.000000,
35055,49334.909891,0.000000,58559.105990,0.000000,65938.462870,0.000000,
35057,24073.651201,0.000000,28360.311333,0.000000,31793.436509,0.000000,
35059,4677.049172,0.000000,4762.993035,0.000000,4839.288885,0.000000,
35061,118475.267471,0.000000,141581.852900,0.000000,160072.782718,0.000000,
36001,412528.293265,63.145088,472957.884791,98.160197,521374.171601,1187.861694,
36003,64704.237709,0.000000,73294.243186,0.000000,80166.247567,0.000000,
36005,1586066.973807,206.005350,1702267.728128,450.647365,1796989.206630,1257.524390,
36007,267544.915022,0.000000,304771.268279,0.000000,334598.028291,0.000000,
36009,105760.922569,0.000000,119751.381477,0.000000,130945.814507,0.000000,
36011,103833.612983,0.000000,116881.192636,0.000000,127324.853519,0.000000,
36013,168890.050761,0.000000,187375.896352,0.000000,202177.706594,0.000000,
36015,114130.746740,0.000000,128350.114261,0.000000,139761.407504,0.000000,
