County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
18097,1210044.205735,0.000000,1373704.479685,0.000000,1489449.940174,0.000000,1595678.090002,0.000000,1682669.485430,0.000000,1769721.623479,0.000000,
18099,60607.927077,0.000000,67594.958686,0.000000,72526.980998,0.000000,77048.001450,0.000000,80747.018184,0.000000,84446.034918,0.000000,
18101,12489.541225,0.000000,13658.211958,0.000000,14485.001604,0.000000,15243.965255,0.000000,15865.584512,0.000000,16487.712962,0.000000,
18103,45151.287075,0.000000,49323.418309,0.000000,52273.250953,0.000000,54980.074398,0.000000,57196.456389,0.000000,59414.184484,0.000000,
18105,186456.052266,0.000000,212222.977628,0.000000,230413.918359,0.000000,247090.413650,0.000000,260735.705370,0.000000,274381.692425,0.000000,
18107,46843.828303,0.000000,51386.788619,0.000000,54597.008935,0.000000,57541.715013,0.000000,59952.237619,0.000000,62363.719288,0.000000,
18109,95264.335710,0.000000,109252.391062,0.000000,119126.312487,0.000000,128177.407127,0.000000,135582.848195,0.000000,142988.289264,0.000000,
18111,17586.783783,0.000000,19428.505587,0.000000,20730.938657,0.000000,21926.238740,0.000000,22905.064930,0.000000,23884.563900,0.000000,
18113,61392.122322,0.000000,68600.681281,0.000000,73689.683013,0.000000,78354.959931,0.000000,82172.224079,0.000000,85989.662027,0.000000,
18115,7794.154492,0.000000,8701.801789,0.000000,9342.494000,0.000000,9929.795192,0.000000,10410.314350,0.000000,10890.833508,0.000000,
18117,24295.367656,0.000000,26643.603327,0.000000,28304.230084,0.000000,29828.254485,0.000000,31076.266613,0.000000,32325.131597,0.000000,
18119,28615.864040,0.000000,32304.577949,0.000000,34908.859336,0.000000,37296.403028,0.000000,39250.022773,0.000000,41203.781144,0.000000,
18121,19860.409708,0.000000,21231.661743,0.000000,22203.491863,0.000000,23096.609276,0.000000,23828.722028,0.000000,24561.921496,0.000000,
18123,23644.423762,0.000000,25899.044783,0.000000,27492.974556,0.000000,28955.490918,0.000000,30152.950232,0.000000,31351.080276,0.000000,
18125,14354.242521,0.000000,15169.920115,0.000000,15752.602035,0.000000,16290.743066,0.000000,16733.468393,0.000000,17178.098473,0.000000,
18127,232490.242789,0.000000,268709.703870,0.000000,294276.720600,0.000000,317713.353027,0.000000,336888.902412,0.000000,356064.549290,0.000000,
18129,33072.007103,0.000000,36849.933149,0.000000,39518.544714,0.000000,41965.853200,0.000000,43968.855337,0.000000,45972.377680,0.000000,
18131,16055.213371,0.000000,17503.258280,0.000000,18526.246754,0.000000,19464.478862,0.000000,20232.423362,0.000000,21000.604672,0.000000,
18133,47421.875247,0.000000,52413.232688,0.000000,55941.290219,0.000000,59178.118833,0.000000,61828.118959,0.000000,64479.446424,0.000000,
18135,29869.091729,0.000000,31864.854283,0.000000,33275.007701,0.000000,34568.462669,0.000000,35627.241808,0.000000,36686.415069,0.000000,
18137,36292.135273,0.000000,40213.793392,0.000000,42982.022652,0.000000,45519.566141,0.000000,47595.738087,0.000000,49671.910032,0.000000,
18139,19418.367592,0.000000,20510.770357,0.000000,21284.392256,0.000000,21995.030494,0.000000,22577.369948,0.000000,23160.428750,0.000000,
18141,339739.090857,0.000000,378258.874765,0.000000,405495.199892,0.000000,430488.607768,0.000000,450953.994625,0.000000,471432.146829,0.000000,
18143,32751.395057,0.000000,37297.004909,0.000000,40505.670687,0.000000,43446.947650,0.000000,45853.446983,0.000000,48259.946316,0.000000,
18145,56436.444391,0.000000,62829.840945,0.000000,67347.506098,0.000000,71491.454180,0.000000,74883.638404,0.000000,78277.151782,0.000000,
18147,26112.336714,0.000000,28864.752888,0.000000,30810.395496,0.000000,32595.524344,0.000000,34057.073840,0.000000,35519.404981,0.000000,
18149,30076.580573,0.000000,33644.035870,0.000000,36162.239610,0.000000,38470.593037,0.000000,40359.245842,0.000000,42247.898646,0.000000,
18151,44976.783498,0.000000,50415.892309,0.000000,54255.263234,0.000000,57774.686582,0.000000,60654.214776,0.000000,63533.742970,0.000000,
18153,23052.851670,0.000000,23932.433338,0.000000,24565.426564,0.000000,25152.732948,0.000000,25637.536375,0.000000,26125.703711,0.000000,
18155,13094.278722,0.000000,14391.116565,0.000000,15306.531513,0.000000,16145.661882,0.000000,16832.223092,0.000000,17518.784303,0.000000,
18157,229239.553405,0.000000,259294.304668,0.000000,280512.514240,0.000000,299964.356008,0.000000,315880.606118,0.000000,331797.730229,0.000000,
18159,18662.314739,0.000000,20110.093244,0.000000,21132.678563,0.000000,22070.416626,0.000000,22837.881890,0.000000,23605.525289,0.000000,
18161,9072.242538,0.000000,9889.734683,0.000000,10466.787962,0.000000,10995.753467,0.000000,11428.543426,0.000000,11861.333385,0.000000,
18163,227479.526389,0.000000,252915.772565,0.000000,270938.000635,0.000000,287497.413084,0.000000,301069.607975,0.000000,314660.291977,0.000000,
18165,17876.296007,0.000000,18810.925806,0.000000,19481.271436,0.000000,20101.932771,0.000000,20613.487353,0.000000,21127.979979,0.000000,
18167,127082.619733,0.000000,137545.924647,0.000000,144990.519303,0.000000,151848.882117,0.000000,157480.924172,0.000000,163129.172194,0.000000,
18169,39395.208782,0.000000,42872.827287,0.000000,45328.772993,0.000000,47580.737161,0.000000,49423.668588,0.000000,51266.928302,0.000000,
18171,9674.607015,0.000000,10300.264159,0.000000,10743.086171,0.000000,11149.698320,0.000000,11482.801610,0.000000,11816.236340,0.000000,
18173,81944.167637,0.000000,93737.987228,0.000000,102066.347561,0.000000,109702.560389,0.000000,115951.491029,0.000000,122201.288566,0.000000,
18175,36847.445809,0.000000,41387.243887,0.000000,44592.802677,0.000000,47531.816634,0.000000,49936.821007,0.000000,52342.106992,0.000000,
18177,84216.439626,0.000000,92290.756113,0.000000,98002.357521,0.000000,103245.051589,0.000000,107538.812460,0.000000,111835.944119,0.000000,
18179,34074.330452,0.000000,37512.939986,0.000000,39940.299312,0.000000,42165.441323,0.000000,43986.050495,0.000000,45806.690200,0.000000,
18181,30291.327753,0.000000,33398.992142,0.000000,35595.425508,0.000000,37610.444842,0.000000,39260.078478,0.000000,40910.482470,0.000000,
18183,42365.322696,0.000000,47190.764524,0.000000,50598.120910,0.000000,53722.211362,0.000000,56278.698933,0.000000,58835.512347,0.000000,
19001,7760.529489,0.000000,7822.359058,0.000000,7871.283385,0.000000,7919.227437,0.000000,7960.338963,0.000000,8002.936926,0.000000,
19003,3742.434777,0.000000,3631.945762,0.000000,3564.128079,0.000000,3507.868687,0.000000,3465.406501,0.000000,3425.741253,0.000000,
19005,16611.799257,0.000000,17829.391008,0.000000,18689.719788,0.000000,19478.855674,0.000000,20124.817882,0.000000,20771.021493,0.000000,
19007,13097.719055,0.000000,13242.017551,0.000000,13354.011869,0.000000,13462.557875,0.000000,13554.923008,0.000000,13650.074558,0.000000,
19009,6091.126621,0.000000,6102.649901,0.000000,6117.742710,0.000000,6135.634462,0.000000,6152.731140,0.000000,6171.759400,0.000000,
19011,30958.122480,0.000000,33529.991509,0.000000,35346.710697,0.000000,37012.787984,0.000000,38376.399082,0.000000,39740.370396,0.000000,
